city,city_ascii
Peñalolén,Penalolen
Hortolândia,Hortolandia
Pallāvaram,Pallavaram
Maţraḩ,Matrah
Kŭlob,Kulob
Çiğli,Cigli
Bouaflé,Bouafle
Secunderābād,Secunderabad
Chāpra,Chapra
Mallawī,Mallawi
Bhadrāvati,Bhadravati
Xigujing,Xigujing
Taitō,Taito
Irákleio,Irakleio
Panchkula,Panchkula
Burhānpur,Burhanpur
Kāpra,Kapra
Móstoles,Mostoles
Ich’ŏn,Ich'on
Taisheng,Taisheng
Ambāla,Ambala
Torbalı,Torbali
Farshūţ,Farshut
Nishitōkyō,Nishitokyo
Rānīwāra Kalān,Raniwara Kalan
Dinājpur,Dinajpur
Diaobingshancun,Diaobingshancun
Māldah,Maldah
Bīrjand,Birjand
Chhindwāra,Chhindwara
Qal‘at Bīshah,Qal`at Bishah
Mai’Adua,Mai'Adua
Şidfā,Sidfa
Soio,Soio
Nandyāl,Nandyal
Lạng Sơn,Lang Son
Khorramābād,Khorramabad
Drabar,Drabar
Laqţah,Laqtah
Rānī,Rani
Bhiwāni,Bhiwani
Zākhū,Zakhu
Kusŏng,Kusong
Kouribga,Kouribga
Ghāndīnagar,Ghandinagar
Beichengqu,Beichengqu
Tchitato,Tchitato
Düzce,Duzce
Sūhāj,Suhaj
Būkān,Bukan
Kökshetaū,Kokshetau
Mahbūbnagar,Mahbubnagar
Pābna,Pabna
Cẩm Phả,Cam Pha
Saddiqabad,Saddiqabad
Chŏngju,Chongju
Murtazābād,Murtazabad
Anjōmachi,Anjomachi
Desē,Dese
Gharyān,Gharyan
Bhusāval,Bhusaval
Jōetsu,Joetsu
Kōfu,Kofu
Kırıkkale,Kirikkale
Bahraigh,Bahraigh
Semnān,Semnan
Temirtaū,Temirtau
Ittikara,Ittikara
Mahesāna,Mahesana
Alasandigutta,Alasandigutta
Vĩnh Châu,Vinh Chau
Rāiganj,Raiganj
Trảng Bàng,Trang Bang
Aqtaū,Aqtau
Batāla,Batala
Pālanpur,Palanpur
Shrīrāmpur,Shrirampur
Fardīs,Fardis
Tachikawa,Tachikawa
Nawāda,Nawada
Mahād,Mahad
Wadlakonda,Wadlakonda
Bhachāu,Bhachau
Buḍhānilkanṭha,Budhanilkantha
Sātāra,Satara
Vāda,Vada
Körfez,Korfez
Unnāo,Unnao
Sītāpur,Sitapur
Sāila,Saila
Wārāseonī,Waraseoni
Gölcük,Golcuk
Shibirghān,Shibirghan
Navadwīp,Navadwip
Kotdwāra,Kotdwara
Pīlibhīt,Pilibhit
Sīrjān,Sirjan
Narashino,Narashino
Chīrāla,Chirala
Jabālyā,Jabalya
Tiruvannāmalai,Tiruvannamalai
Bīdar,Bidar
Jalālābād,Jalalabad
Rafaḩ,Rafah
Nawsari,Nawsari
Bảo Lộc,Bao Loc
Fusagasugá,Fusagasuga
Malāyer,Malayer
Aplahoué,Aplahoue
Valsād,Valsad
Saḩāb,Sahab
Medinīpur,Medinipur
Sŏsan,Sosan
Kalalé,Kalale
Harīpur,Haripur
Mahābād,Mahabad
Hŭich’ŏn,Huich'on
Bāramūla,Baramula
Jamālpur,Jamalpur
Ríohacha,Riohacha
Malkāpur,Malkapur
Jīnd,Jind
Bandırma,Bandirma
Bayamón,Bayamon
Tiantoujiao,Tiantoujiao
Ādoni,Adoni
Fyzābād,Fyzabad
Sawāi Mādhopur,Sawai Madhopur
Shāhrūd,Shahrud
Tenāli,Tenali
Khodābandeh,Khodabandeh
Proddatūr,Proddatur
Pocheon,Pocheon
Parnaíba,Parnaiba
Rafsanjān,Rafsanjan
Ndalatando,Ndalatando
Zhanlicun,Zhanlicun
Prāntij,Prantij
Tân Phú,Tan Phu
Miyakonojō,Miyakonojo
Khōst,Khost
Uttarpāra,Uttarpara
Matsuzaka,Matsuzaka
Ōgaki,Ogaki
Jāmkhed,Jamkhed
Bharūch,Bharuch
Banhā,Banha
Nāblus,Nablus
Qalyūb,Qalyub
Ghorāhī,Ghorahi
Bạc Liêu,Bac Lieu
Pathānkot,Pathankot
Borāzjān,Borazjan
Kārwār,Karwar
Daiwanishi,Daiwanishi
Thānesar,Thanesar
Ŭiwang,Uiwang
Kitenkela,Kitenkela
Tindwāra,Tindwara
Seogwipo,Seogwipo
Verāval,Veraval
Hoeryŏng,Hoeryong
Betūl Bazār,Betul Bazar
Bālurghāt,Balurghat
Jorhāt,Jorhat
Vĩnh Yên,Vinh Yen
Bārākpur,Barakpur
Girón,Giron
Gò Công,Go Cong
Shāntipur,Shantipur
Beāwar,Beawar
Dahuaishu,Dahuaishu
Đức Phổ,Duc Pho
Çayırova,Cayirova
Sibsāgar,Sibsagar
Buğdaylı,Bugdayli
Nāngloi Jāt,Nangloi Jat
Kukichūō,Kukichuo
Gölbaşı,Golbasi
Lévis,Levis
Maīmanah,Maimanah
‘Ajlūn,`Ajlun
Nūzvīd,Nuzvid
Sitārganj,Sitarganj
Mộc Châu,Moc Chau
Zhangaözen,Zhangaozen
Hājīpur,Hajipur
Hābra,Habra
Bāra Bankī,Bara Banki
Dhamār,Dhamar
Nārnaul,Narnaul
Qūchān,Quchan
Bhāndāria,Bhandaria
Disūq,Disuq
Ghaznī,Ghazni
Sannār,Sannar
Rewāri,Rewari
Paghmān,Paghman
Hazāribāgh,Hazaribagh
Nawābganj,Nawabganj
Bhīmavaram,Bhimavaram
Jun’an,Jun'an
Chās,Chas
Tân Châu,Tan Chau
Kamālshahr,Kamalshahr
Fukayachō,Fukayacho
Çarşamba,Carsamba
Shizhaobi,Shizhaobi
Sāmarrā’,Samarra'
Kanasín,Kanasin
Minō,Mino
Kuwana,Kuwana
Kolār,Kolar
Médéa,Medea
Teresópolis,Teresopolis
Shūnan,Shunan
Kapaklı,Kapakli
Bānkura,Bankura
Taxila,Taxila
Marīvān,Marivan
Talaivāsal,Talaivasal
Birgañj,Birganj
Jicheon,Jicheon
Ahuachapán,Ahuachapan
Haraīpur,Haraipur
Siwān,Siwan
Shahreẕā,Shahreza
Zābol,Zabol
Djakotomé,Djakotome
Mabacun,Mabacun
Idfū,Idfu
Peristéri,Peristeri
Madīnat Ḩamad,Madinat Hamad
Ségou,Segou
Conchalí,Conchali
Bibémi,Bibemi
Ibirité,Ibirite
M’Sila,M'Sila
Srīpur,Sripur
Gondiā,Gondia
Ödemiş,Odemis
Reẖovot,Rehovot
Dalūpura,Dalupura
Ünye,Unye
Okigwe,Okigwe
Āwarē,Aware
Ōme,Ome
Pālghāt,Palghat
Atyraū,Atyrau
Ānand,Anand
Jīroft,Jiroft
Botād,Botad
Jamundí,Jamundi
Mukeriān,Mukerian
Sầm Sơn,Sam Son
Hanumāngarh,Hanumangarh
Kānchrāpāra,Kanchrapara
Akçaabat,Akcaabat
Chech’ŏn,Chech'on
Dörtyol,Dortyol
Ōsaki,Osaki
Hoshangābād,Hoshangabad
Saïda,Saida
Cúa,Cua
Salmās,Salmas
Jāzān,Jazan
Ōmiyachō,Omiyacho
Koganei,Koganei
Hardoī,Hardoi
Ñemby,Nemby
Kamëz,Kamez
Bokhtar,Bokhtar
Pithampur,Pithampur
Pātan,Patan
Basīrhat,Basirhat
Hālīsahar,Halisahar
Jagādhri,Jagadhri
Sunām,Sunam
Jhārsugra,Jharsugra
Pāli,Pali
Pobé,Pobe
Dūmā,Duma
Nāndgaon,Nandgaon
Alwāl,Alwal
Munch’ŏn,Munch'on
Dimāpur,Dimapur
Behbahān,Behbahan
Sarangāpuram,Sarangapuram
Farīdpur,Faridpur
Dorūd,Dorud
Ambikāpur,Ambikapur
Kırıkhan,Kirikhan
Ghazīpur,Ghazipur
Ch’ungmu,Ch'ungmu
Apartadó,Apartado
Jīma,Jima
Catchiungo,Catchiungo
Gurdāspur,Gurdaspur
Hengken,Hengken
Jandrapeta,Jandrapeta
Fulgāzi,Fulgazi
Naz̧arābād,Nazarabad
Nāmakkal,Namakkal
Guaratinguetá,Guaratingueta
Ţūz Khūrmātū,Tuz Khurmatu
Totonicapán,Totonicapan
Daitōchō,Daitocho
Vihiga,Vihiga
Hưng Yên,Hung Yen
Butwāl,Butwal
Chikmagalūr,Chikmagalur
Xuqiaocun,Xuqiaocun
Gudivāda,Gudivada
Phagwāra,Phagwara
Aizuwakamatsu,Aizuwakamatsu
Salmān Bāk,Salman Bak
Munūf,Munuf
Adilābād,Adilabad
Fāqūs,Faqus
Baripāda,Baripada
Kōnosu,Konosu
Yavatmāl,Yavatmal
Titāgarh,Titagarh
Honchō,Honcho
Barnāla,Barnala
Ocaña,Ocana
Dharān,Dharan
Sabhā,Sabha
Adjaouèrè,Adjaouere
Kōenchō,Koencho
Nyíregyháza,Nyiregyhaza
Sabará,Sabara
Bu’aale,Bu'aale
Hōfu,Hofu
Jaramānā,Jaramana
Yŏju,Yoju
Kemalpaşa,Kemalpasa
Sakété,Sakete
Matéri,Materi
Poá,Poa
Īrānshahr,Iranshahr
Sātkhira,Satkhira
Tōkai,Tokai
Āfdem,Afdem
Lárisa,Larisa
Balāngīr,Balangir
Ōshū,Oshu
Płock,Plock
Higashiōmi,Higashiomi
Mahāsamund,Mahasamund
Rājpura,Rajpura
Bāgalkot,Bagalkot
Osmānābād,Osmanabad
Estelí,Esteli
Kaliānpur,Kalianpur
Shujālpur,Shujalpur
Sāhibganj,Sahibganj
Kayabaşı,Kayabasi
Ḩaraḑ,Harad
Dīsa,Disa
Fasā,Fasa
Socopó,Socopo
Bāneh,Baneh
Jeonghae,Jeonghae
Mancherāl,Mancheral
Miriālgūda,Mirialguda
Gualeguaychú,Gualeguaychu
Kamagaya,Kamagaya
Yŏngju,Yongju
Sandachō,Sandacho
Maţrūḩ,Matruh
Tondabayashichō,Tondabayashicho
Xishancun,Xishancun
Móng Cái,Mong Cai
Artëm,Artem
Islāmābād,Islamabad
Yāsūj,Yasuj
Tādpatri,Tadpatri
Acharnés,Acharnes
Gharbara,Gharbara
Sultānpur,Sultanpur
Mineshita,Mineshita
Shikohābād,Shikohabad
Jalpāiguri,Jalpaiguri
Shāmli,Shamli
Banté,Bante
Suriāpet,Suriapet
Chābahār,Chabahar
Maipú,Maipu
Açailandia,Acailandia
Rānībennur,Ranibennur
